ཨ་ཧྥེ་རི་ཁ།	Afrika
ཉི་ཧོང་།	Japan
ནོར་ཝེ།	Noorwegen
སི་ཁོ་ཁྲི་ལན་ཌི།	Schotland
ཨར་ལེན་ཌ།	Ierland (land)
ཧུང་གྷ་རི།	Hongarije
ཞི་པན་ཡ།	Spanje
ཨ་མེ་རི་ཁ་རྒྱལ་ཕྲན་མཉམ་འབྲེལ་རྒྱལ་ཁབ།	Verenigde Staten
པེར་ཅིན།	België
ལུ་སེམ་བའུརག (རྒྱལ་ཁབ།)	Luxemburg (land)
སའི་གོ་ལ།	Aarde (planeet)
འཚོ་བ།	Leven
ཤི་བ།	Dood
འགྲོ་བ་མི།	Mens
དགའ་སྐྱིད།	Geluk (emotie)
ཧྥིན་ལན།	Finland
སི་ཝེ་དེན།	Zweden
དན་མྲག	Denemarken
ཕོ་ལན།	Polen
ལི་ཐུ་ཨེ་ནི་ཡ།	Litouwen
ཨི་ཏ་ལི།	Italië
སུད་སི།	Zwitserland
ཨོ་སི་ཐྲི་ཡ།	Oostenrijk
ཀེ་རི་སི།	Griekenland
ཏུར་ཀི།	Turkije
སྦི་རག	Bier
པོ་ཅུ་གྷལ།	Portugal
ཡོ་རོབ་གླིང་།	Europa (werelddeel)
ཨེ་ཤེ་ཡ།	Azië
ལྷོ་མཐའི་གླིང་།	Antarctica
ཧོ་ལན།	Nederland
ནེའུ་ཡོར་ཀ།	New York City
ཝ་ཤིན་ཏྲོན།	Washington D.C.
སན་ཧྥུ་རན་སིས་ཁོ	San Francisco
པེར་ལིན།	Berlijn
གློག་ཀླད།	Computer
པེར་ནེ།	Bern (stad)
ཀྲེ་ནེ་ཝ།	Genève (stad)
བ་རག་ཨོ་པྰ་མ།	Barack Obama
ཨུ་རུ་གུ་ཡེ།	Uruguay
པ་སེལ།	Bazel (Zwitserland)
ལོན་ཊོན།	Londen
ཁ་ཡི་རོ	Caïro (stad)
ཡ་ལི་ཧྲན་ད	Alexandrië
ཕ་རི།	Parijs
མེག་སི་ཀོ།	Mexico (land)
ནུབ་རྒྱ་མཚོ་ཆེན་པོ།	Atlantische Oceaan
ཞི་བདེ་རྒྱ་མཚོ་ཆེན་པོ།	Grote Oceaan
ཁྰ་ལེ་ཧྥོར་ནི་ཡ།	Californië
བོ་སེ་ཊོན།	Boston
གཟའ་ཟླ་བ།	Maandag
མིག་དམར།	Mars (planeet)
མ་ཨེར་སི།	Mars (mythologie)
ཁེ་ནི་ཡ།	Kenia
ཨི་ཐི་ཨོ་པི་ཡ།	Ethiopië
ཀ་ན།	Ghana
གཟའ་མིག་དམར།	Dinsdag
གཟའ་ལྷག་པ།	Woensdag
གཟའ་ཕུར་བུ།	Donderdag
གཟའ་པ་སངས།	Vrijdag
གཟའ་སྤེན་པ།	Zaterdag
གཟའ་ཉི་མ།	Zondag
སེང་གེ།	Leeuw (dier)
ཧྥ་རན་སི།	Frankrijk
ཁྱི།	Hond
དབྱིན་ཇི་མཉམ་འབྲེལ།	Verenigd Koninkrijk
ཞི་མི།	Kat (dier)
ཀྲུང་ཧྭ་མི་དམངས་སྤྱི་མཐུན་རྒྱལ་ཁབ།	Volksrepubliek China
ཧྥ་རན་སིའི་སྐད།	Frans
ཉ།	Vissen (dieren)
ཨ་རག་ཉིང་ཁུ།	Ethanol
པུ་རུ་ཟིལ།	Brazilië
ཧྥ་རན་སུའཱ་ཨོ་ལན་དེ།	François Hollande
ཨུ་རུ་སུ།	Rusland
ཕའེ།	Pi (letter)
ཨ་ལ་པ་མ།	Alabama
སན་པའུ་ལོ་	São Paulo (stad)
འཇར་མན།	Duitsland
བྷེ་ལ་རསུ།	Wit-Rusland
འཇར་མན་སྐད།	Duits
ཨཡིསུ་ལེན་ཌ།	IJsland
ཨིསུ་ཊོ་ནིཡ།	Estland
