આફ્રિકા	Afrika
જાપાન	Japan
દક્ષિણ અમેરિકા	Zuid-Amerika
નોર્વે	Noorwegen
વેલ્સ	Wales
નોર્ધન આયર્લેન્ડ	Noord-Ierland
હંગેરી	Hongarije
સ્પેન	Spanje
સંયુક્ત રાજ્ય અમેરિકા	Verenigde Staten
બેલ્જિયમ	België
લક્ઝેમ્બર્ગ	Luxemburg (land)
બ્રહ્માંડ	Heelal
પૃથ્વી	Aarde (planeet)
મનુષ્ય	Mens
ફીનલેંડ	Finland
સ્વિડન	Zweden
પોલેંડ	Polen
લિથુઆનિયા	Litouwen
ઈટલી	Italië
સ્વિત્ઝરલેન્ડ	Zwitserland
ઑસ્ટ્રિયા	Oostenrijk
ગ્રીસ	Griekenland
તુર્કસ્તાન	Turkije
પોર્ટુગલ	Portugal
યુરોપ	Europa (werelddeel)
એશિયા	Azië
ઉત્તર અમેરિકા	Noord-Amerika
ઍન્ટાર્કટિકા	Antarctica
વિકિપીડિયા	Wikipedia
નેધરલેંડ	Nederland
PHP (પ્રોગ્રામિંગ ભાષા)	PHP
એર બસ	Airbus
સંગણક	Computer
ઇન્ટરનેટ	Internet
ઉરુગ્વે	Uruguay
કમ્પ્યુટર પ્રિન્ટર	Printer
લંડન	Londen
એલેક્ઝાન્ડ્રિયા	Alexandrië
સફરજન	Appel (plant)
પૅરિસ	Parijs
ગૂગલ	Google Inc.
મેક્સિકો	Mexico (land)
સોમવાર	Maandag
જાન્યુઆરી	Januari
ફેબ્રુઆરી	Februari
માર્ચ	Maart
મંગળ (ગ્રહ)	Mars (planeet)
કેન્યા	Kenia
ઇથિયોપિયા	Ethiopië
ઘાના	Ghana
એપ્રિલ	April
મે	Mei
જૂન	Juni
જુલાઇ	Juli
ઓગસ્ટ	Augustus (maand)
સપ્ટેમ્બર	September
ઓક્ટોબર	Oktober
નવેમ્બર	November
ડિસેમ્બર	December
મંગળવાર	Dinsdag
બુધવાર	Woensdag
ગુરુવાર	Donderdag
શુક્રવાર	Vrijdag
શનિવાર	Zaterdag
રવિવાર	Zondag
એશિયાઇ સિંહ	Leeuw (dier)
ફ્રાન્સ	Frankrijk
યુનાઇટેડ કિંગડમ	Verenigd Koninkrijk
ચીન	Volksrepubliek China
માછલી	Vissen (dieren)
ઇથેનોલ	Ethanol
મદ્યાર્ક યુક્ત પીણું	Alcoholische drank
બ્રાઝિલ	Brazilië
રશિયા	Rusland
કાળો સમુદ્ર	Zwarte Zee
અલાબામા	Alabama
ક્વિબેક	Quebec (provincie)
વિકિમીડિયા ફાઉન્ડેશન	Wikimedia Foundation
જીમ્મી વેલ્સ	Jimmy Wales
જર્મની	Duitsland
બેલારુસ	Wit-Rusland
જર્મન ભાષા	Duits
આઈસલેંડ	IJsland
ઈશ્વર	God (monotheïsme)
ઈસ્ટોનિયા	Estland
શનિ (ગ્રહ)	Saturnus (planeet)
