非洲	Afrika
日本	Japan
南美洲	Zuid-Amerika
Nò-vî	Noorwegen
Sû-kak-làn	Schotland
Vî-ngì-sṳ̂	Wales
Pet Oi-ngì-làn	Noord-Ierland
Hiûng-ngà-li	Hongarije
Sî-pân-ngà	Spanje
Mî-koet	Verenigde Staten
Pí-li-sṳ̀	België
Lù-sêm-pó	Luxemburg (land)
Yî-chhiu	Heelal
Thi-khiù	Aarde (planeet)
Sâng-miang	Leven
Ngìn-lui	Mens
George Washington	George Washington
Fûn-làn	Finland
Shuì-tién	Zweden
Tan-ma̍k	Denemarken
Pô-làn	Polen
Li̍p-thâu-vón	Litouwen
Yi-thai-li	Italië
Shuì-sṳ	Zwitserland
O-thi-li	Oostenrijk
Hî-lia̍p	Griekenland
Thú-ngí-khì	Turkije
Phù-thò-ngà	Portugal
歐洲	Europa (werelddeel)
亞洲	Azië
北美洲	Noord-Amerika
南極洲	Antarctica
Vì-kî Pak-khô	Wikipedia
Hò-làn	Nederland
Néu-yok-sṳ	New York City
Fà-sṳ̀n-tun Kô-lùn-pí-â Thi̍t-khî	Washington D.C.
Khiu-kîm-sân	San Francisco
Pak-lìm	Berlijn
Lo̍k-chhám-kî	Los Angeles
Thien-nó	Computer
Mióng-chi-mióng-lu	Internet
Barack Obama	Barack Obama
Vû-lâ-kûi	Uruguay
Lùn-tûn	Londen
Phìn-kó	Appel (plant)
Pâ-lì-sṳ	Parijs
Â-pak-lâ-hón Lìm-khén	Abraham Lincoln
Google	Google Inc.
Me̍t-sî-kô	Mexico (land)
Thai-sî-yòng	Atlantische Oceaan
Thai-phìn-yòng	Grote Oceaan
Kâ-li-fuk-nì-â	Californië
Pô-sṳ-tun	Boston
Fó-sên	Mars (planeet)
Âi-set-ngò-pí-â	Ethiopië
Sṳ̂-é	Leeuw (dier)
Fap-koet	Frankrijk
Sṳ-kie-ngî	Esperanto
Kiéu-è	Hond
Yîn-koet	Verenigd Koninkrijk
Meu-é	Kat (dier)
中華人民共和國	Volksrepubliek China
Fap-ngî	Frans
Ǹg-è	Vissen (dieren)
Pâ-sî	Brazilië
François Hollande	François Hollande
Ngò-lò-sṳ̂	Rusland
Kîn-ǹg	Walvisachtigen
Chang-fông-hìn	Vierkant (meetkunde)
Tô-lùn-tô	Toronto
Â-lâ-pâ-mâ	Alabama
Québec-sén	Quebec (provincie)
Boeing 747	Boeing 747
Jimmy Wales	Jimmy Wales
Tet-koet	Duitsland
Pha̍k-ngò-lò-sṳ̂	Wit-Rusland
Tet-ngî	Duits
Pên-tó	IJsland
Song-ti	God (monotheïsme)
Oi-sâ-nì-â	Estland
David Cameron	David Cameron
Thú-sên	Saturnus (planeet)
Ku-thin-yi̍t Fî-kî	Vliegtuig
1	1 (getal)
2	2 (getal)
3	3 (getal)
4	4 (getal)
5	5 (getal)
George W. Bush	George W. Bush
Lâ-thot-vì-â	Letland
Vû-khiet-làn	Oekraïne
Tshia̍p-khiet	Tsjechië
Sṳ̂-lo̍k-vì-nì-â	Slovenië
Lò-mâ-nì-â	Roemenië
Pó-kâ-li-â	Bulgarije
