Afrik	Afrika
Japon	Japan
Amerik disid	Zuid-Amerika
Nòvèj	Noorwegen
Angletè	Engeland
Ekòs	Schotland
Gal	Wales
Ilann dinò	Noord-Ierland
Ilann	Ierland (land)
Ongri	Hongarije
Espay	Spanje
Etazini	Verenigde Staten
Bèljik	België
Liksanbou (peyi)	Luxemburg (land)
Linivè	Heelal
Latè	Aarde (planeet)
Lavi	Leven
Lanmò	Dood
Homo sapiens	Mens
George Washington	George Washington
Fenlann	Finland
Syèd	Zweden
Danmak	Denemarken
Polòy	Polen
Lityani	Litouwen
Itali	Italië
Swis	Zwitserland
Otrich	Oostenrijk
Grès	Griekenland
Tiki	Turkije
Byè	Bier
Pòtigal	Portugal
Ewòp	Europa (werelddeel)
Azi	Azië
Amerik dinò	Noord-Amerika
Antatik (kontinan)	Antarctica
Wikipedya	Wikipedia
Peyiba	Nederland
Nouyòk	New York City
Wachintòn	Washington D.C.
San Francisco, Kalifòni	San Francisco
Bèlen	Berlijn
Los Angeles, Kalifòni	Los Angeles
Òdinatè	Computer
Bèn	Bern (stad)
Zirik	Zürich (stad)
Entènet	Internet
Barack Obama	Barack Obama
Irigwe	Uruguay
Lonn	Londen
Li Kè	Caïro (stad)
Alexandria, Vijini	Alexandria (Virginia)
Pòm	Appel (plant)
Pari	Parijs
Abraham Lincoln	Abraham Lincoln
Google	Google Inc.
Meksik	Mexico (land)
Atlantik	Atlantische Oceaan
Pasifik	Grote Oceaan
Kalifòni	Californië
Boston, Massachusetts	Boston
Lendi	Maandag
Janvye	Januari
Fevriye	Februari
Mas (mwa)	Maart
Mas (planèt)	Mars (planeet)
Kenya	Kenia
Etyopi	Ethiopië
Gana	Ghana
Avril	April
Me	Mei
Jen	Juni
Jiyè	Juli
Out	Augustus (maand)
Septanm	September
Oktòb	Oktober
Novanm	November
Desanm	December
Madi	Dinsdag
Mèkredi	Woensdag
Jedi	Donderdag
Vandredi	Vrijdag
Samdi	Zaterdag
Dimanch	Zondag
Lyon	Leeuw (dier)
Frans	Frankrijk
Chen	Hond
Wayòm Ini	Verenigd Koninkrijk
Chat	Kat (dier)
Tichat	Kitten (kat)
Lang franse	Frans
Pwason	Vissen (dieren)
Brezil	Brazilië
Alkòl	Alcohol (stofklasse)
Risi	Rusland
Balèn	Walvisachtigen
Kare	Vierkant (meetkunde)
Lanmè	Zee
Pi (matematik)	Pi (wiskunde)
Π	Pi (letter)
Alabama	Alabama
São Paolo	São Paulo (stad)
Kebèk	Quebec (provincie)
Almay	Duitsland
Byelorisi	Wit-Rusland
Alman	Duits
Islann	IJsland
Bondye	God (monotheïsme)
Estoni	Estland
Satin	Saturnus (planeet)
Seriz	Kers (fruit)
Avyon	Vliegtuig
Lagè	Oorlog
1 (nonm)	1 (getal)
2 (nonm)	2 (getal)
3 (nonm)	3 (getal)
4 (nonm)	4 (getal)
5 (nonm)	5 (getal)
0 (nonm)	0 (getal)
Rektang	Rechthoek
Letoni	Letland
Ikrèn	Oekraïne
Tchèki	Tsjechië
Slovaki	Slowakije
Sloveni	Slovenië
Vilnis	Vilnius
Moldavi	Moldavië (land)
Woumani	Roemenië
Bilgari	Bulgarije
Ròm	Rome (stad)
Repiblik d Masedoni	Macedonië (land)
Albani	Albanië
Kroasi	Kroatië
Bosni ak Erzegovin	Bosnië en Herzegovina
Azerbaydjan	Azerbeidzjan
Andora	Andorra
Chip	Cyprus
Jeoji	Georgië
Kazakstan	Kazachstan
Malt	Malta (land)
Monako (kapital)	Monaco
Montenegwo	Montenegro
Vatikan	Vaticaanstad
Sen Maren (peyi)	San Marino
Briksèl	Brussels Hoofdstedelijk Gewest
Kiba	Cuba (land)
Beliz	Belize (land)
Lababad	Barbados
Java	Java (programmeertaal)
Endonezi	Indonesië
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Afrik disid (peyi)	Zuid-Afrika
Aljeri	Algerije
Ouzbekistan	Oezbekistan
Tachkènt	Tasjkent
Vasovi	Warschau
Diven	Wijn
Dlo	Water
Kwi	Leer (stof)
Bwa	Hout
Chili	Chili
Jezi	Jezus (traditioneel-christelijk)
Galileo Galilei	Galileo Galilei
Mèki (planèt)	Mercurius (planeet)
Istwa	Geschiedenis
Apple	Apple Inc.
Venis (planèt)	Venus (planeet)
Lang (pawòl)	Taal
Galaksi	Sterrenstelsel
Jipitè (planèt)	Jupiter (planeet)
Teyori big-bang	Oerknal
Iranis	Uranus (planeet)
Neptin (planèt)	Neptunus (planeet)
Astwonomi	Astronomie
Sengapou (peyi)	Singapore
Syans	Wetenschap
Pliton	Pluto (dwergplaneet)
Monreyal (komin)	Montreal (Canada)
Avni	Toekomst
Lichtènstayn	Liechtenstein
Espò (divètisman)	Sport
Adolf Hitler	Adolf Hitler
Ubuntu	Ubuntu (Linuxdistributie)
Skopje	Skopje
Linux	Linux
Matematik	Wiskunde
Barayn	Bahrein
Ameni	Armenië
Sèbi	Servië
Lalin	Maan
Istanboul	Istanboel
Ostrali	Australië (land)
Bob Marley	Bob Marley
Fizik	Natuurkunde
Ajantin	Argentinië
Telekominikasyon	Telecommunicatie
Pewou	Peru
Biyoloji	Biologie
Kore dinò	Noord-Korea
Kanbòdj	Cambodja
Dinozò	Dinosauriërs
Islamis	Islam
Kurów (komin)	Kurów (gemeente)
Lyoubyana	Ljubljana
Etid plant	Plantkunde
Rou	Wiel (voortbeweging)
Lapè	Vrede
Lyon (vil)	Lyon
Inyon Ewopeyèn	Europese Unie
Philipp Ludwig von Seidel	Philipp Ludwig von Seidel
Fanm	Vrouw
Sofia	Sofia (stad)
Zanmi	Vriendschap
Anis (anatomi)	Anus (anatomie)
Sitron	Citroen (vrucht)
Bannann	Banaan (vrucht)
666 (almanak jilyen)	666
Flè	Bloem (plant)
Vil	Stad
Napoléon Bonaparte	Napoleon Bonaparte
Etwal	Ster (hemellichaam)
Solèy	Zon
Syèl	Hemelgewelf
Ane-limyè	Lichtjaar
Victor Hugo	Victor Hugo
Oseyani	Oceanië
Atletis	Atletiek
Sistèm solè	Zonnestelsel
Idwojèn	Waterstof (element)
Elyòm	Helium
Dan	Tand (mens)
Lityòm	Lithium (element)
Berilyòm	Beryllium
Liv (pou li)	Boek (document)
Jou (Tan)	Dag
Timò oryantal	Oost-Timor
Nwit	Nacht
Lane	Jaar
Syèk	Eeuw
Oslo	Oslo
Twou nwa	Zwart gat
Lisbòn	Lissabon
Ichiro Suzuki	Ichiro Suzuki
Kabòn	Koolstof
Azòt	Stikstof (element)
Oksijèn	Zuurstof (element)
Planèt	Planeet
Mizik	Muziek
Tèmomèt	Thermometer
Moskou	Moskou
Fliyò	Fluor (element)
Neyon	Neon (element)
Saint-Pétersbourg	Sint-Petersburg
Tchad	Tsjaad
Sodyòm	Natrium
Nò	Noord (windstreek)
Manyezyòm	Magnesium
Aliminyòm	Aluminium
Nouvèl Zelann	Nieuw-Zeeland
Sid	Zuid
End	India
Silisyòm	Silicium
Fransyòm	Francium
Touvalou	Tuvalu
Fosfò	Fosfor
André-Marie Ampère	André-Marie Ampère
Fè	IJzer (element)
Tonga	Tonga (land)
Lwès	West
Alessandro Volta	Alessandro Volta
Souf	Zwavel
Samoa	Samoa
Lès	Oost (windstreek)
Salomon	Salomonseilanden
Vanwatou	Vanuatu
Molière	Molière (schrijver)
Klò	Chloor (element)
Papwazi-Nouvèl-Gine	Papoea-Nieuw-Guinea
William Shakespeare	William Shakespeare
Palao	Palau (land)
Agon	Argon
Naorou	Nauru
Mikwonezi (peyi)	Micronesia
Potasyòm	Kalium
Kalsyòm	Calcium
Plon	Lood (element)
Machal	Marshalleilanden
Kiribès	Kiribati
Mongoli	Mongolië
Fidji	Fiji
Skandyòm	Scandium
Titàn	Titanium
Venezwela	Venezuela
Echèk	Schaken
Vanadyòm	Vanadium
Mèn	Maine
Kwòm	Chroom (element)
Cheval	Paard (dier)
Amstèdam	Amsterdam
Zam	Gevechtswapen
Zannimo	Dierenrijk
Sirinam	Suriname
Manganèz	Mangaan
Paragwe	Paraguay
Giyàn	Guyana
La (aktivite)	Kunst
Ekwatè (peyi)	Ecuador
Kolonbi	Colombia
Nikèl	Nikkel
Frèz	Aardbei
Boudis	Boeddhisme
Bolivi	Bolivia
Kwiv	Koper (element)
Trinidad ak Tobago	Trinidad en Tobago
Plant	Planten
Sen Vensan ak Grenadin	Saint Vincent en de Grenadines
Zenk	Zink (element)
Nou Anpchi	New Hampshire
Sent Lisi	Saint Lucia
Leonardo da Vinci	Leonardo da Vinci
Sen Kits ak Nevi	Saint Kitts en Nevis
Chanpiyon	Schimmels
Jamayik	Jamaica
Grenad	Grenada
Masachosèt	Massachusetts
Gwatemala	Guatemala
Google chrome	Google Chrome
Bahamas	Bahama's
Konèktikòt	Connecticut
Antigwa ak Babouda	Antigua en Barbuda
Awayi	Hawaï
Ondiras	Honduras
Dominik	Dominica
Dominikani	Dominicaanse Republiek
Kochon	Varken (tam)
Aktik	Noordelijke IJszee
Ayiti	Haïti
Salvadò	El Salvador
Iran	Iran
Irak	Irak
Alaska	Alaska
Kostarika	Costa Rica
Izrayèl	Israël
Panama (peyi)	Panama (land)
Yemèn	Jemen
Viris	Virus (biologie)
Jòdani	Jordanië
Nikaragwa	Nicaragua
Florid	Florida (staat)
Kirgistan	Kirgizië
Arizona	Arizona (staat)
Kowet	Koeweit
Laos	Laos
Liban	Libanon
Oregon	Oregon
Maldiv	Maldiven
Amerik	Amerika (continent)
Youta	Utah
Malezi	Maleisië
Bimani	Myanmar
Nepal	Nepal
Omàn	Oman
Pakistan	Pakistan
Katar	Qatar
Tenis	Tennis
Arabi Sawoudit	Saoedi-Arabië
Srilanka	Sri Lanka
Siri	Syrië
Platon	Plato
Galyòm	Gallium
Tadjikistan	Tadzjikistan
Jèmanyòm	Germanium
Aristotle	Aristoteles
Tayilann	Thailand
Asenik	Arseen
Tirkmenistan	Turkmenistan
Selenyòm	Seleen
Iridyòm	Iridium (element)
Emira Arab Ini	Verenigde Arabische Emiraten
Bwòm	Broom (element)
Platin	Platina
Vyetnam	Vietnam
Charlie Chaplin (aktè)	Charlie Chaplin
Kore disid	Zuid-Korea
Les Simpson	The Simpsons
Kripton	Krypton (element)
Afganistan	Afghanistan
Lò	Goud
Bangladèch	Bangladesh
Mali	Mali
Angola	Angola
Boutan	Bhutan
Brouney	Brunei
Tanzani	Tanzania
Mèki (eleman chimik)	Kwik
Filipin	Filipijnen
Repiblik santafrik	Centraal-Afrikaanse Republiek
Talyòm	Thallium
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Estwontyòm	Strontium
Bismit	Bismut
Jòn	Geel (kleur)
Togo	Togo
Donald Tusk	Donald Tusk
Tinizi	Tunesië
John Bardeen	John Bardeen
Zanbi	Zambia
Zimbabwe	Zimbabwe
Peken	Peking
Lis tout lis yo	Wikipedia:Overzichten en lijsten
Benen	Benin
Botswana	Botswana
Boukinafaso	Burkina Faso
Bouroundi	Burundi
Komò	Comoren
Kongo (Brazavil)	Congo-Brazzaville
