Āfrika	Afrika
Japāna	Japan
Dienvidamerika	Zuid-Amerika
Norvēģija	Noorwegen
Anglija	Engeland
Skotija	Schotland
Velsa	Wales
Ziemeļīrija	Noord-Ierland
Īrija	Ierland (land)
Ungārija	Hongarije
Spānija	Spanje
Amerikas Savienotās Valstis	Verenigde Staten
Beļģija	België
Luksemburga	Luxemburg (land)
Visums	Heelal
Zeme	Aarde (planeet)
Dzīvība	Leven
Nāve	Dood
Cilvēks	Mens
Laime	Geluk (emotie)
Džordžs Vašingtons	George Washington
Duglass Adamss	Douglas Adams
Tims Bērnerss-Lī	Tim Berners-Lee
Imagine (dziesma)	Imagine (John Lennon)
Stenlijs Kubriks	Stanley Kubrick
Vikidati	Wikidata
Somija	Finland
Zviedrija	Zweden
Dānija	Denemarken
Polija	Polen
Lietuva	Litouwen
Itālija	Italië
Šveice	Zwitserland
Austrija	Oostenrijk
Grieķija	Griekenland
Turcija	Turkije
Alus	Bier
Portugāle	Portugal
Eiropa	Europa (werelddeel)
Āzija	Azië
Ziemeļamerika	Noord-Amerika
Antarktīda	Antarctica
Vikipēdija	Wikipedia
All your base are belong to us	All your base are belong to us
Nīderlande	Nederland
Dzimumloceklis	Penis
PHP	PHP
Ņujorka	New York City
Vašingtona	Washington D.C.
Sanfrancisko	San Francisco
Berlīne	Berlijn
Losandželosa	Los Angeles
Boeing	Boeing
Airbus	Airbus
Dators	Computer
Berne	Bern (stad)
Ženēva	Genève (stad)
Cīrihe	Zürich (stad)
IRC	Internet Relay Chat
Internets	Internet
Baraks Obama	Barack Obama
Urugvaja	Uruguay
Bāzele	Bazel (Zwitserland)
Printeris	Printer
MediaWiki	MediaWiki
Londona	Londen
Kaira	Caïro (stad)
Galvassāpes	Hoofdpijn
Aleksandrija	Alexandrië
Aleksandrija (Virdžīnija)	Alexandria (Virginia)
Ābols	Appel (plant)
Parīze	Parijs
Abrahams Linkolns	Abraham Lincoln
Android	Android (besturingssysteem)
Google	Google Inc.
Meksika	Mexico (land)
Atlantijas okeāns	Atlantische Oceaan
Klusais okeāns	Grote Oceaan
Kalifornija	Californië
Bostona	Boston
Pirmdiena	Maandag
Telpa	Ruimte (natuurkunde)
Janvāris	Januari
Februāris	Februari
Marts	Maart
Marss (planēta)	Mars (planeet)
Marss (mitoloģija)	Mars (mythologie)
Kenija	Kenia
Etiopija	Ethiopië
Monarhs	Monarch (staatshoofd)
Gana	Ghana
Aprīlis	April
Maijs	Mei
Jūnijs	Juni
Jūlijs	Juli
Augusts	Augustus (maand)
Septembris	September
Oktobris	Oktober
Novembris	November
Decembris	December
Otrdiena	Dinsdag
Trešdiena	Woensdag
Ceturtdiena	Donderdag
Piektdiena	Vrijdag
Sestdiena	Zaterdag
Svētdiena	Zondag
Laidnis	Loper (schaken)
Bandinieks (šahs)	Pion (schaken)
Zirdziņš (šahs)	Paard (schaken)
Tornis (šahs)	Toren (schaken)
Karalis (šahs)	Koning (schaken)
Dāma (šahs)	Dame (schaken)
Lauva	Leeuw (dier)
Francija	Frankrijk
Esperanto	Esperanto
Suns	Hond
Apvienotā Karaliste	Verenigd Koninkrijk
Kaķis	Kat (dier)
Ķīna	Volksrepubliek China
Franču valoda	Frans
Vikivārdnīca	Wiktionary
Zivis	Vissen (dieren)
Etanols	Ethanol
Alkoholiskie dzērieni	Alcoholische drank
Brazīlija	Brazilië
Spirti	Alcohol (stofklasse)
Fransuā Olands	François Hollande
Krievija	Rusland
Vaļveidīgie	Walvisachtigen
Optiskā šķiedra	Optische vezel
Jorkšīra	Yorkshire
