Naakaii Łizhiní Bikéyah	Afrika
Binaʼadaałtzózí Dinéʼiʼ Bikéyah	Japan
Bitsiighaʼ Łichííʼí Bikéyah	Ierland (land)
Hángewii	Hongarije
Dibé Diníí Bikéyah	Spanje
Wááshindoon Bikéyah Ałhidadiidzooígíí	Verenigde Staten
Bélgii Bikéyah	België
Látsębooʼ	Luxemburg (land)
Yágháhookáán	Heelal
Nahasdzáán	Aarde (planeet)
Nahoditsʼǫʼłání	Finland
Déinish Dineʼé Bikéyah	Denemarken
Póolish Dineʼé Bikéyah	Polen
Łitʼoowę́ęya	Litouwen
Ídelii	Italië
Swis Bikéyah	Zwitserland
Óóswiya	Oostenrijk
Gwíík Dineʼé Bikéyah	Griekenland
Tʼóok Bikéyah	Turkije
Béésh Bichʼahníí Bikéyah	Europa (werelddeel)
(*@@@u0026asia")	Azië
Shádiʼááhjí kéyah yistinígíí	Antarctica
Kéyah Wóyahgo Siʼánígíí	Nederland
Béésh bee akʼeʼelchíhí tʼáá bí nitsékeesígíí	Computer
Hastiin alą́ąjįʼ dahsidáhígíí Barack Obama	Barack Obama
Táłtłʼááh Chʼosh Bitooh (Kéyah Dah Siʼánígíí)	Uruguay
Bilasáana	Appel (plant)
Méhigo	Mexico (land)
Akééháshį́į́h Hahoodzo	Californië
Máaz	Mars (planeet)
Kénya	Kenia
Iithiyópya	Ethiopië
Gáana	Ghana
Náshdóítsoh bitsiijįʼ daditłʼooígíí	Leeuw (dier)
Dáághahii Dinéʼiʼ Bikéyah	Frankrijk
Łééchąąʼí	Hond
Tótaʼ Dinéʼiʼ Bikéyah	Verenigd Koninkrijk
Mósí	Kat (dier)
Dáághahii bizaad	Frans
Łóóʼ	Vissen (dieren)
Bwazííl	Brazilië
Biʼééʼ Łichííʼí Bikéyah	Rusland
Łóóʼtsoh dóó Tééh hóyáanii	Walvisachtigen
Élábéemah Hahoodzo	Alabama
Béésh Bichʼahii Bikéyah	Duitsland
Bééshbichʼahii bizaad	Duits
Tin Bikéyah	IJsland
Ééstii Bikéyah	Estland
Séetin	Saturnus (planeet)
Didzéchííʼ	Kers (fruit)
Chidí naatʼaʼí	Vliegtuig
Hastiin alą́ąjįʼ dahsidáhígíí George W. Bush	George W. Bush
Létbiiya	Letland
Yóókwein	Oekraïne
Chek Bikéyah	Tsjechië
Słóbaʼ Bikéyah	Slowakije
Słobíín Bikéyah	Slovenië
Wooméiniya	Roemenië
Bálgaa Bikéyah	Bulgarije
Dziłigaii Bikéyah	Albanië
