ਅਫ਼ਰੀਕਾ	Afrika
ਜਪਾਨ	Japan
ਦੱਖਣੀ ਅਮਰੀਕਾ	Zuid-Amerika
ਨਾਰਵੇ	Noorwegen
ਇੰਗਲੈਂਡ	Engeland
ਸਕਾਟਲੈਂਡ	Schotland
ਵੇਲਜ਼	Wales
ਉੱਤਰੀ ਆਇਰਲੈਂਡ	Noord-Ierland
ਆਇਰਲੈਂਡ ਗਣਰਾਜ	Ierland (land)
ਹੰਗਰੀ	Hongarije
ਸਪੇਨ	Spanje
ਸੰਯੁਕਤ ਰਾਜ ਅਮਰੀਕਾ	Verenigde Staten
ਬੈਲਜੀਅਮ	België
ਲਕਸਮਬਰਗ	Luxemburg (land)
ਧਰਤੀ	Aarde (planeet)
ਜੀਵਨ	Leven
ਮੌਤ	Dood
ਮਨੁੱਖ	Mens
ਖ਼ੁਸ਼ੀ	Geluk (emotie)
ਜਾਰਜ ਵਾਸ਼ਿੰਗਟਨ	George Washington
ਇਮੈਜਿਨ (ਗੀਤ)	Imagine (John Lennon)
ਫ਼ਿਨਲੈਂਡ	Finland
ਸਵੀਡਨ	Zweden
ਡੈੱਨਮਾਰਕ	Denemarken
ਪੋਲੈਂਡ	Polen
ਲਿਥੁਆਨੀਆ	Litouwen
ਇਟਲੀ	Italië
ਸਵਿਟਜ਼ਰਲੈਂਡ	Zwitserland
ਆਸਟਰੀਆ	Oostenrijk
ਯੂਨਾਨ	Griekenland
ਤੁਰਕੀ	Turkije
ਪੁਰਤਗਾਲ	Portugal
ਯੂਰਪ	Europa (werelddeel)
ਏਸ਼ੀਆ	Azië
ਉੱਤਰੀ ਅਮਰੀਕਾ	Noord-Amerika
ਅੰਟਾਰਕਟਿਕਾ	Antarctica
ਵਿਕੀਪੀਡੀਆ	Wikipedia
ਨੀਦਰਲੈਂਡ	Nederland
ਸ਼ਿਸ਼ਨ	Penis
ਨਿਊਯਾਰਕ ਸ਼ਹਿਰ	New York City
ਵਾਸ਼ਿੰਗਟਨ, ਡੀ.ਸੀ.	Washington D.C.
ਸਾਨ ਫ਼ਰਾਂਸਿਸਕੋ	San Francisco
ਬਰਲਿਨ	Berlijn
ਲਾਸ ਐਂਜਲਸ	Los Angeles
ਕੰਪਿਊਟਰ	Computer
ਬਰਨ	Bern (stad)
ਜਨੇਵਾ	Genève (stad)
ਜ਼ਿਊਰਿਖ	Zürich (stad)
ਇੰਟਰਨੈੱਟ	Internet
ਬਰਾਕ ਓਬਾਮਾ	Barack Obama
ਉਰੂਗੁਏ	Uruguay
ਲੰਡਨ	Londen
ਕਾਹਿਰਾ	Caïro (stad)
ਸਿਰਦਰਦ	Hoofdpijn
ਸਿਕੰਦਰੀਆ	Alexandrië
ਸੇਬ	Appel (plant)
ਪੈਰਿਸ	Parijs
ਅਬਰਾਹਮ ਲਿੰਕਨ	Abraham Lincoln
ਐਂਡ੍ਰਾਇਡ (ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ)	Android (besturingssysteem)
ਗੂਗਲ	Google Inc.
ਮੈਕਸੀਕੋ	Mexico (land)
ਅੰਧ ਮਹਾਂਸਾਗਰ	Atlantische Oceaan
ਪ੍ਰਸ਼ਾਂਤ ਮਹਾਂਸਾਗਰ	Grote Oceaan
ਕੈਲੀਫ਼ੋਰਨੀਆ	Californië
ਬੌਸਟਨ	Boston
ਸੋਮਵਾਰ	Maandag
ਵਿਸਥਾਰ	Ruimte (natuurkunde)
ਜਨਵਰੀ	Januari
ਫ਼ਰਵਰੀ	Februari
ਮਾਰਚ	Maart
ਮੰਗਲ (ਗ੍ਰਹਿ)	Mars (planeet)
ਮਾਰਸ	Mars (mythologie)
ਕੀਨੀਆ	Kenia
ਇਥੋਪੀਆ	Ethiopië
ਰਾਜਾ	Monarch (staatshoofd)
ਘਾਨਾ	Ghana
ਅਪ੍ਰੈਲ	April
ਮਈ	Mei
ਜੂਨ	Juni
ਜੁਲਾਈ	Juli
ਅਗਸਤ	Augustus (maand)
ਸਤੰਬਰ	September
ਅਕਤੂਬਰ	Oktober
ਨਵੰਬਰ	November
ਦਸੰਬਰ	December
ਮੰਗਲਵਾਰ	Dinsdag
ਬੁੱਧਵਾਰ	Woensdag
