Aphrika	Afrika
Nihun	Japan
Urin Awya Yala	Zuid-Amerika
Nurwiga	Noorwegen
Inlatirra	Engeland
Iskusya	Schotland
Kamri	Wales
Chinchay Ilanda	Noord-Ierland
Ilanda	Ierland (land)
Unriya	Hongarije
Ispaña	Spanje
Hukllachasqa Amirika Suyukuna	Verenigde Staten
Bilhika	België
Luksimbur	Luxemburg (land)
Ch'askancha	Heelal
Tiksimuyu	Aarde (planeet)
Kawsay	Leven
Wañuy	Dood
Runa	Mens
Kusikuy	Geluk (emotie)
George Washington	George Washington
Stanley Kubrick	Stanley Kubrick
Phinsuyu	Finland
Suwidsuyu	Zweden
Dansuyu	Denemarken
Pulunya	Polen
Lituwa	Litouwen
Italya	Italië
Suwisa	Zwitserland
Awstiriya	Oostenrijk
Grisya	Griekenland
Turkiya	Turkije
Sirwisa	Bier
Purtugal	Portugal
Iwrupa	Europa (werelddeel)
Asya	Azië
Chinchay Awya Yala	Noord-Amerika
Antartika	Antarctica
Wikipidiya	Wikipedia
Urasuyu	Nederland
Ullu	Penis
New York	New York City
Washington DC	Washington D.C.
San Francisco (California)	San Francisco
Berlin	Berlijn
Los Angeles	Los Angeles
Antañiqiq	Computer
Bern	Bern (stad)
Genève	Genève (stad)
Zürich	Zürich (stad)
Internet	Internet
Barack Obama	Barack Obama
Uruwayi	Uruguay
Basel	Bazel (Zwitserland)
Antañiqiq ch'ipachina	Printer
London	Londen
Qahira	Caïro (stad)
Uma nanay	Hoofdpijn
Iskandariya	Alexandrië
Mansana	Appel (plant)
Paris	Parijs
Abraham Lincoln	Abraham Lincoln
Google	Google Inc.
Mishiku	Mexico (land)
Atlantiku mama qucha	Atlantische Oceaan
Sanp'a mama qucha	Grote Oceaan
California suyu	Californië
Boston (Massachusetts)	Boston
Killachaw	Maandag
Qhulla puquy killa	Januari
Hatun puquy killa	Februari
Pawqar waray killa	Maart
Awqakuq	Mars (planeet)
Kinya	Kenia
Ithiyupya	Ethiopië
Gana	Ghana
Ayriway killa	April
Aymuray killa	Mei
Inti raymi killa	Juni
Anta situwa killa	Juli
Chakra yapuy killa	Augustus (maand)
Tarpuy killa	September
Kantaray killa	Oktober
Ayamarq'a killa	November
Qhapaq raymi killa	December
Atipachaw	Dinsdag
Quyllurchaw	Woensdag
Illapachaw	Donderdag
Ch'askachaw	Vrijdag
K'uychichaw	Zaterdag
Intichaw	Zondag
Liyun	Leeuw (dier)
Ransiya	Frankrijk
Esperanto simi	Esperanto
Allqu	Hond
Hukllachasqa Qhapaq Suyu	Verenigd Koninkrijk
Michi	Kat (dier)
Chunwa Runallaqta Ripuwlika	Volksrepubliek China
Ransis simi	Frans
Challwa	Vissen (dieren)
Ethanul	Ethanol
Brasil	Brazilië
Alkul	Alcohol (stofklasse)
François Hollande	François Hollande
Rusiya	Rusland
Wallina	Walvisachtigen
Q'aytucha	Vezel
T'asra	Vierkant (meetkunde)
Hatun qucha	Zee
Yana hatun qucha	Zwarte Zee
Chiqaluwa	Pi (wiskunde)
Wiki	Wiki
Toronto	Toronto
Alabama suyu	Alabama
São Paulo	São Paulo (stad)
São Paulo suyu	São Paulo (staat)
Quebec pruwinsya	Quebec (provincie)
Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Alimanya	Duitsland
Bilarus	Wit-Rusland
Aliman simi	Duits
Islandya	IJsland
Apuyaya	God (monotheïsme)
Istunya	Estland
David Cameron	David Cameron
Hawcha	Saturnus (planeet)
Chukulati	Chocolade
Antanka	Vliegtuig
Maqanakuy	Oorlog
Huk	1 (getal)
Iskay	2 (getal)
Kimsa	3 (getal)
Tawa	4 (getal)
Pichqa	5 (getal)
Ch'usaq yupay	0 (getal)
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Wask'a	Rechthoek
Chiqan chhuka	Rechte hoek
Litunya	Letland
Ukranya	Oekraïne
Chiksuyu	Tsjechië
Isluwakya	Slowakije
Isluwinya	Slovenië
Vilnius	Vilnius
Mulduwa	Moldavië (land)
Rumanya	Roemenië
Bulgarya	Bulgarije
Roma	Rome (stad)
Makidunya	Macedonië (land)
Albanya	Albanië
Kalalit Suyu	Groenland
Hurwatsuyu	Kroatië
Busna-Hirsiquwina	Bosnië en Herzegovina
Asarsuyu	Azerbeidzjan
Andurra	Andorra
Kipru	Cyprus
Kartulsuyu	Georgië
Qasaqsuyu	Kazachstan
Malta	Malta (land)
Munaku	Monaco
Yanaurqu	Montenegro
Watikanu llaqta	Vaticaanstad
San Marino	San Marino
Brussel	Brussel (stad)
Kuwa	Cuba (land)
Bilisi	Belize (land)
Yatana llumpa	Toetsenbord (computer)
Indunisya	Indonesië
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turku simi	Turks
Urin Aphrika	Zuid-Afrika
Alhirya	Algerije
Usbiksuyu	Oezbekistan
Poznań	Poznań (stad)
Warszawa	Warschau
Modena	Modena (stad)
Winu	Wijn
Yaku	Water
Qiru	Hout
Ñawikaruy	Televisie
Islandya simi	IJslands
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez (kunstschilder)
Chili	Chili
El Greco	El Greco
Jesus	Jezus (traditioneel-christelijk)
Elvis Presley	Elvis Presley
Galileo Galilei	Galileo Galilei
Qatuylla	Mercurius (planeet)
Wiñay kawsay	Geschiedenis
Ch'aska	Venus (planeet)
Rimay	Taal
Khuyay	Liefde
Llaqta saruy	Dictatuur
Ñuñu warani	Sterrenstelsel
Pirwa	Jupiter (planeet)
Michelle Bachelet	Michelle Bachelet
Qullqaquyllur	Melkweg (sterrenstelsel)
Hatun t'uqyay	Oerknal
Uranu (puriq quyllur)	Uranus (planeet)
Bretagne	Bretagne (schiereiland)
Nicolas Sarkozy	Nicolas Sarkozy
Niptun (puriq quyllur)	Neptunus (planeet)
Quyllur yachay	Astronomie
Singapur	Singapore
Hamut'ay	Wetenschap
Plutun (tuna puriq quyllur)	Pluto (dwergplaneet)
Montreal	Montreal (Canada)
Qhipa pacha	Toekomst
Qullana Mariya	Maria (moeder van Jezus)
Liechtenstein	Liechtenstein
Kurku kallpanchay	Sport
Cambridge	Cambridge (Verenigd Koninkrijk)
Yellowstone mamallaqta parki	Yellowstone National Park
Adolf Hitler	Adolf Hitler
