Africa	Afrika
Japan	Japan
South America	Zuid-Amerika
Norway	Noorwegen
Scotland	Schotland
Wales	Wales
Ireland	Ierland (land)
Hungary	Hongarije
Spain	Spanje
United States of America	Verenigde Staten
Belgium	België
Luxembourg	Luxemburg (land)
Rudunhumwe	Heelal
Rinopasi	Aarde (planeet)
Finland	Finland
Sweden	Zweden
Denmark	Denemarken
Poland	Polen
Lithuania	Litouwen
Italy	Italië
Switzerland	Zwitserland
Austria	Oostenrijk
Greece	Griekenland
Turkey	Turkije
Doro	Bier
Portugal	Portugal
Europe	Europa (werelddeel)
Asia	Azië
North America	Noord-Amerika
Netherlands	Nederland
Mboro	Penis
Washington, DC	Washington D.C.
Bern	Bern (stad)
Uruguay	Uruguay
London	Londen
Cairo	Caïro (stad)
Alexandria	Alexandrië
Paris	Parijs
Mexico	Mexico (land)
Gungwa reAtlantic	Atlantische Oceaan
Gungwa rePacific	Grote Oceaan
Muvhuro	Maandag
Kenya	Kenia
Ethiopia	Ethiopië
Ghana	Ghana
Gunyana	September
Chipiri	Dinsdag
Chitatu	Woensdag
China (Musi)	Donderdag
Chishanu (musi)	Vrijdag
Mugovera	Zaterdag
Svondo (musi)	Zondag
Shumba	Leeuw (dier)
France	Frankrijk
Imbwa	Hond
United Kingdom	Verenigd Koninkrijk
Katsi	Kat (dier)
China (nyika)	Volksrepubliek China
Hove	Vissen (dieren)
Brazil	Brazilië
Russian Federation	Rusland
Skweya	Vierkant (meetkunde)
Germany	Duitsland
Belarus	Wit-Rusland
Iceland	IJsland
Mwari	God (monotheïsme)
Estonia	Estland
Ndege	Vliegtuig
Hondo	Oorlog
Motsi	1 (getal)
Piri	2 (getal)
Tatu	3 (getal)
China	4 (getal)
Shanu	5 (getal)
Chipasina	0 (getal)
Ruramamakonyo	Rechthoek
Rurama (pimanyika)	Rechte hoek
Latvia	Letland
Ukraine	Oekraïne
Czechia	Tsjechië
Slovakia	Slowakije
Slovenia	Slovenië
Vilnius	Vilnius
Moldova	Moldavië (land)
Romania	Roemenië
Bulgaria	Bulgarije
Rome	Rome (stad)
Macedonia	Macedonië (land)
Albania	Albanië
Croatia	Kroatië
Bosnia and Herzegovina	Bosnië en Herzegovina
Azerbaijan	Azerbeidzjan
Andorra	Andorra
Cyprus	Cyprus
Georgia	Georgië
Kazakhstan	Kazachstan
Malta	Malta (land)
Monaco	Monaco
Montenegro	Montenegro
Vatican City	Vaticaanstad
San Marino	San Marino
Brussels	Brussels Hoofdstedelijk Gewest
Cuba	Cuba (land)
Belize	Belize (land)
Barbados	Barbados
Indonesia	Indonesië
South Africa	Zuid-Afrika
Algeria	Algerije
Uzbekistan	Oezbekistan
Tashkent	Tasjkent
Warsaw	Warschau
Mvura	Water
Dehwe	Leer (stof)
Chile	Chili
Nhoroondo	Geschiedenis
Mutauro	Taal
Zvechadenga	Astronomie
Singapore	Singapore
Liechtenstein	Liechtenstein
Hondo yePasirose yeChiposhi	Eerste Wereldoorlog
Hondo yePasirose yeChipiri	Tweede Wereldoorlog
Skopje	Skopje
Masvomhu	Wiskunde
Bahrain	Bahrein
Armenia	Armenië
Serbia	Servië
Mwedzi (mutumbi)	Maan
Australia	Australië (land)
Fundoyetsimba	Natuurkunde
Argentina	Argentinië
Peru	Peru
Ketaupenyu	Biologie
North Korea	Noord-Korea
Cambodia	Cambodja
Ketamhuka	Zoölogie
Islam	Islam
Ljubljana	Ljubljana
Rugare	Vrede
Mukadzi	Vrouw
Sofia	Sofia (stad)
Milan	Milaan (stad)
Dhodhi	Ontlasting
Mukosho	Anus (anatomie)
Ruva	Bloem (plant)
Guta	Stad
Nyenyedzi	Ster (hemellichaam)
Zuva	Zon
Dandira reMushana	Zonnestelsel
Mazino	Tand (mens)
Bhuku	Boek (document)
Musi	Dag
East Timor	Oost-Timor
Husiku	Nacht
Gore	Jaar
Mwaka wechizana	Eeuw
Oslo	Oslo
Lisbon	Lissabon
Nyeredzi	Planeet
Mimhanzi	Muziek
Moscow	Moskou
Chad	Tsjaad
Maodzanyemba	Noord (windstreek)
New Zealand	Nieuw-Zeeland
Chamhembe	Zuid
India	India
Tuvalu	Tuvalu
Tonga	Tonga (land)
Madokero	West
Samoa	Samoa
Mabvazuva	Oost (windstreek)
Solomon Islands	Salomonseilanden
Vanuatu	Vanuatu
Papua New Guinea	Papoea-Nieuw-Guinea
Palau	Palau (land)
Nauru	Nauru
Federated States of Micronesia	Micronesia
Marshall Islands	Marshalleilanden
Kiribati	Kiribati
Mongolia	Mongolië
Fiji	Fiji
Venezuela	Venezuela
Bhiza	Paard (dier)
Amsterdam	Amsterdam
Zvombo	Gevechtswapen
Mhuka	Dierenrijk
Suriname	Suriname
Paraguay	Paraguay
Guyana	Guyana
Ecuador	Ecuador
Colombia	Colombia
Bolivia	Bolivia
Trinidad and Tobago	Trinidad en Tobago
Madzinde	Planten
Saint Vincent and the Grenadines	Saint Vincent en de Grenadines
Zeng'e	Zink (element)
Saint Lucia	Saint Lucia
Saint Kitts and Nevis	Saint Kitts en Nevis
Jamaica	Jamaica
Grenada	Grenada
Guatemala	Guatemala
The Bahamas	Bahama's
Huku	Kip (vogel)
Antigua and Barbuda	Antigua en Barbuda
Honduras	Honduras
Dominica	Dominica
Dominican Republic	Dominicaanse Republiek
Nguruve	Varken (tam)
Haiti	Haïti
El Salvador	El Salvador
Iran	Iran
Iraq	Irak
Costa Rica	Costa Rica
Israel	Israël
Panama	Panama (land)
Yemen	Jemen
Jordan	Jordanië
Nicaragua	Nicaragua
Florida	Florida (staat)
Kyrgyzstan	Kirgizië
Kuwait	Koeweit
Laos	Laos
Lebanon	Libanon
Maldives	Maldiven
America (dzose)	Amerika (continent)
