ஆப்பிரிக்கா	Afrika
ஜப்பான்	Japan
தென் அமெரிக்கா	Zuid-Amerika
நோர்வே	Noorwegen
இங்கிலாந்து	Engeland
இசுக்கொட்லாந்து	Schotland
வேல்ஸ்	Wales
வட அயர்லாந்து	Noord-Ierland
அயர்லாந்து குடியரசு	Ierland (land)
அங்கேரி	Hongarije
எசுப்பானியா	Spanje
அமெரிக்க ஐக்கிய நாடு	Verenigde Staten
பெல்ஜியம்	België
லக்சம்பர்க்	Luxemburg (land)
அண்டம்	Heelal
புவி	Aarde (planeet)
உயிர்	Leven
இறப்பு	Dood
மனிதர்	Mens
இன்பம்	Geluk (emotie)
சியார்ச் வாசிங்டன்	George Washington
டக்ளஸ் ஆடம்ஸ்	Douglas Adams
டிம் பேர்னேர்ஸ்-லீ	Tim Berners-Lee
இஸ்டான்லி குப்ரிக்கு	Stanley Kubrick
மாயா காலக்கணக்கு முறை	Mayakalender
பின்லாந்து	Finland
சுவீடன்	Zweden
டென்மார்க்	Denemarken
போலந்து	Polen
லித்துவேனியா	Litouwen
இத்தாலி	Italië
சுவிட்சர்லாந்து	Zwitserland
ஆசுதிரியா	Oostenrijk
கிரேக்கம் (நாடு)	Griekenland
துருக்கி	Turkije
பியர்	Bier
போர்த்துகல்	Portugal
ஐரோப்பா	Europa (werelddeel)
ஆசியா	Azië
வட அமெரிக்கா	Noord-Amerika
அன்டார்க்டிக்கா	Antarctica
விக்கிப்பீடியா	Wikipedia
நெதர்லாந்து	Nederland
ஆண்குறி	Penis
பி.எச்.பி	PHP
நியூயார்க் நகரம்	New York City
வாசிங்டன், டி. சி.	Washington D.C.
சான் பிரான்சிஸ்கோ	San Francisco
பெர்லின்	Berlijn
லாஸ் ஏஞ்சலஸ்	Los Angeles
போயிங்	Boeing
ஏர்பஸ்	Airbus
கணினி	Computer
பேர்ன்	Bern (stad)
ஜெனீவா	Genève (stad)
சூரிக்கு	Zürich (stad)
இணையம்	Internet
பராக் ஒபாமா	Barack Obama
உருகுவை	Uruguay
பேசெல்	Bazel (Zwitserland)
கணினி அச்சுப்பொறி	Printer
மீடியாவிக்கி	MediaWiki
இலண்டன்	Londen
கெய்ரோ	Caïro (stad)
தலைவலி	Hoofdpijn
அலெக்சாந்திரியா	Alexandrië
ஆப்பிள்	Appel (plant)
பாரிஸ்	Parijs
ஆபிரகாம் லிங்கன்	Abraham Lincoln
ஆண்ட்ராய்டு இயங்குதளம்	Android (besturingssysteem)
கூகுள்	Google Inc.
மெக்சிக்கோ	Mexico (land)
அத்திலாந்திக்குப் பெருங்கடல்	Atlantische Oceaan
அமைதிப் பெருங்கடல்	Grote Oceaan
கலிபோர்னியா	Californië
பாஸ்டன்	Boston
திங்கள் (கிழமை)	Maandag
பரவெளி	Ruimte (natuurkunde)
சனவரி	Januari
பெப்ரவரி	Februari
மார்ச்	Maart
செவ்வாய் (கோள்)	Mars (planeet)
கென்யா	Kenia
எதியோப்பியா	Ethiopië
அரசன்	Monarch (staatshoofd)
கானா	Ghana
ஏப்ரல்	April
மே	Mei
ஜூன்	Juni
ஜூலை	Juli
ஆகஸ்டு	Augustus (maand)
செப்டம்பர்	September
அக்டோபர்	Oktober
நவம்பர்	November
டிசம்பர்	December
செவ்வாய் (கிழமை)	Dinsdag
புதன் (கிழமை)	Woensdag
வியாழன் (கிழமை)	Donderdag
ஞாயிறு (கிழமை)	Zondag
அமைச்சர் (சதுரங்கம்)	Loper (schaken)
காலாள் (சதுரங்கம்)	Pion (schaken)
குதிரை (சதுரங்கம்)	Paard (schaken)
கோட்டை (சதுரங்கக் காய்)	Toren (schaken)
அரசன் (சதுரங்கம்)	Koning (schaken)
அரசி (சதுரங்கம்)	Dame (schaken)
சிங்கம்	Leeuw (dier)
பிரான்சு	Frankrijk
எஸ்பெராண்டோ	Esperanto
நாய்	Hond
ஐக்கிய இராச்சியம்	Verenigd Koninkrijk
பூனை	Kat (dier)
சீன மக்கள் குடியரசு	Volksrepubliek China
பிரான்சிய மொழி	Frans
விக்சனரி	Wiktionary
மீன்	Vissen (dieren)
எத்தனால்	Ethanol
மதுபானம்	Alcoholische drank
பிரேசில்	Brazilië
மதுசாரம்	Alcohol (stofklasse)
பிரான்சுவா ஆலந்து	François Hollande
உருசியா	Rusland
கடற்பாலூட்டி	Walvisachtigen
இழை	Vezel
ஒளியிழை	Optische vezel
சதுரம்	Vierkant (meetkunde)
கடல்	Zee
கருங்கடல்	Zwarte Zee
பை (கணித மாறிலி)	Pi (wiskunde)
விக்கி	Wiki
ரொறன்ரோ	Toronto
அலபாமா	Alabama
சாவோ பாவுலோ	São Paulo (stad)
சாவோ பாவுலோ (மாநிலம்)	São Paulo (staat)
கியூபெக்	Quebec (provincie)
பீத்சா	Pizza
விக்கிமீடியா நிறுவனம்	Wikimedia Foundation
ஜிம்மி வேல்ஸ்	Jimmy Wales
ஜெர்மனி	Duitsland
பெலருஸ்	Wit-Rusland
லாரி சாங்கர்	Larry Sanger
இடாய்ச்சு மொழி	Duits
ஐசுலாந்து	IJsland
கடவுள்	God (monotheïsme)
எசுத்தோனியா	Estland
டேவிட் கேமரன்	David Cameron
சனி (கோள்)	Saturnus (planeet)
சாக்கலேட்	Chocolade
விமானம்	Vliegtuig
போர்	Oorlog
1 (எண்)	1 (getal)
2 (எண்)	2 (getal)
3 (எண்)	3 (getal)
4 (எண்)	4 (getal)
5 (எண்)	5 (getal)
0 (எண்)	0 (getal)
முடிவிலி	Oneindigheid
இசுட்டீவன் கார்ப்பர்	Stephen Harper
ஜார்ஜ் வாக்கர் புஷ்	George W. Bush
செவ்வகம்	Rechthoek
செங்கோணம்	Rechte hoek
லாத்வியா	Letland
உக்ரைன்	Oekraïne
செக் குடியரசு	Tsjechië
சிலோவாக்கியா	Slowakije
சுலோவீனியா	Slovenië
வில்னியஸ்	Vilnius
மல்தோவா	Moldavië (land)
உருமேனியா	Roemenië
பல்காரியா	Bulgarije
உரோம்	Rome (stad)
மாக்கடோனியக் குடியரசு	Macedonië (land)
அல்பேனியா	Albanië
கிறீன்லாந்து	Groenland
குரோவாசியா	Kroatië
பொசுனியா எர்செகோவினா	Bosnië en Herzegovina
நூக்	Nuuk
அசர்பைஜான்	Azerbeidzjan
அந்தோரா	Andorra
சைப்பிரசு	Cyprus
சியார்சியா (நாடு)	Georgië
கசக்ஸ்தான்	Kazachstan
மால்ட்டா	Malta (land)
மொனாக்கோ	Monaco
மொண்டெனேகுரோ	Montenegro
வத்திக்கான் நகர்	Vaticaanstad
சான் மரீனோ	San Marino
பிரசெல்சு	Brussels Hoofdstedelijk Gewest
கியூபா	Cuba (land)
பெலீசு	Belize (land)
ஈபெல் கோபுரம்	Eiffeltoren
பார்படோசு	Barbados
போல்க்ஸ்வேகன்	Volkswagen
இன்டெல்	Intel
விசைப்பலகை	Toetsenbord (computer)
ஜாவா (நிரலாக்க மொழி)	Java (programmeertaal)
இந்தோனேசியா	Indonesië
குவர்ட்டி	QWERTY
வொல்ஃப்கேங்க் அமதியுஸ் மோட்சார்ட்	Wolfgang Amadeus Mozart
லுடுவிக் ஃவான் பேத்தோவன்	Ludwig van Beethoven
துருக்கிய மொழி	Turks
தென்னாப்பிரிக்கா	Zuid-Afrika
லிங்கின் பார்க்	Linkin Park
அல்சீரியா	Algerije
விக்கிமூலம்	Wikisource
உசுபெக்கிசுத்தான்	Oezbekistan
பனிப்பூண்டு	Zonnedauw
போசுனான்	Poznań (stad)
தாஷ்கந்து	Tasjkent
வார்சாவா	Warschau
விஸ்கி	Whisky
வைன்	Wijn
நீர்	Water
தோல்சரக்கு நுட்பியல்	Leer (stof)
மரம் (மூலப்பொருள்)	Hout
தொலைக்காட்சி	Televisie
பால் (உயிரியல்)	Sekse
பாலுணர்வுக் கிளர்ச்சியம்	Pornografie
இசுலேன்சுக மொழி	IJslands
கிளாடு மோனெ	Claude Monet
டியேகோ வெலாஸ்க்குவெஸ்	Diego Velázquez (kunstschilder)
சிலி	Chili
இயேசு கிறித்து	Jezus (traditioneel-christelijk)
எல்விஸ் பிரெஸ்லி	Elvis Presley
செபஸ்டியான் பினேரா	Sebastián Piñera
கலீலியோ கலிலி	Galileo Galilei
புதன் (கோள்)	Mercurius (planeet)
வரலாறு	Geschiedenis
ஆப்பிள் நிறுவனம்	Apple Inc.
வெள்ளி (கோள்)	Venus (planeet)
மொழி	Taal
காதல்	Liefde
சர்வாதிகாரம்	Dictatuur
விண்மீன் பேரடை	Sterrenstelsel
வியாழன் (கோள்)	Jupiter (planeet)
மிசெல் பாச்செலெட்	Michelle Bachelet
பால் வழி	Melkweg (sterrenstelsel)
பெரு வெடிப்புக் கோட்பாடு	Oerknal
யுரேனசு	Uranus (planeet)
பிரித்தானி	Bretagne (schiereiland)
ஆங்கில விக்கிப்பீடியா	Engelstalige Wikipedia
நிக்கொலா சார்கோசி	Nicolas Sarkozy
நெப்டியூன்	Neptunus (planeet)
வானியல்	Astronomie
சிங்கப்பூர்	Singapore
அறிவியல்	Wetenschap
அண்டவியல்	Kosmologie
புளூட்டோ	Pluto (dwergplaneet)
மொண்ட்ரியால்	Montreal (Canada)
கட்டற்ற மென்பொருள்	Vrije software
மரியாள் (இயேசுவின் தாய்)	Maria (moeder van Jezus)
லீக்டன்ஸ்டைன்	Liechtenstein
உடல் திறன் விளையாட்டு	Sport
கேம்பிரிட்ச்	Cambridge (Verenigd Koninkrijk)
யெல்லோஸ்டோன் தேசியப் பூங்கா	Yellowstone National Park
இட்லர்	Adolf Hitler
ஃபேஸ்புக்	Facebook
கூகுள்+	Google+
குவாண்டானமோ விரிகுடா தடுப்பு முகாம்	Gevangenenkamp Guantanamo Bay
விக்கிலீக்ஸ்	WikiLeaks
ஜூலியன் அசாஞ்சு	Julian Assange
முதல் உலகப் போர்	Eerste Wereldoorlog
இரண்டாம் உலகப் போர்	Tweede Wereldoorlog
மூன்றாம் உலகப் போர்	Derde Wereldoorlog
கோல்ன்	Keulen (stad)
விக்கிநூல்கள்	Wikibooks
விக்கிமேற்கோள்	Wikiquote
விக்கிப்பல்கலைக்கழகம்	Wikiversity
வோட்கா	Wodka
கடிகாரம்	Klok (tijd)
யங்கா குபாலா	Janka Koepala
உபுண்டு (இயக்குதளம்)	Ubuntu (Linuxdistributie)
ஸ்கோப்ஜே	Skopje
லினக்சு	Linux
பாப் டிலான்	Bob Dylan
கணிதம்	Wiskunde
யு2	U2 (band)
இலத்தீன்	Latijn
பகுரைன்	Bahrein
ஆர்மீனியா	Armenië
ஜென்னா ஜேமிசன்	Jenna Jameson
ஆப்பெழுத்து	Spijkerschrift
ஹிக்ஸ் போசான்	Higgsboson
செர்பியா	Servië
நிலா	Maan
இசுதான்புல்	Istanboel
லிண்டா லவ்லேஸ்	Linda Lovelace
ஆத்திரேலியா	Australië (land)
பாப் மார்லி	Bob Marley
கார்ல் சேகன்	Carl Sagan
வான் உயிரியல்	Astrobiologie
இயற்பியல்	Natuurkunde
அர்கெந்தீனா	Argentinië
தொலைத்தொடர்பு	Telecommunicatie
பெரு	Peru
உயிரியல்	Biologie
அடையாளம் கண்டுபிடிக்க முடியாத பறக்கும் பொருள்	Unidentified flying object
வடகொரியா	Noord-Korea
கம்போடியா	Cambodja
கைப்பர் பட்டை	Kuipergordel
திருக்குர்ஆன்	Koran
தொன்மா	Dinosauriërs
விலங்கியல்	Zoölogie
இசுலாம்	Islam
பேரி	Peer (plant)
லியுப்லியானா	Ljubljana
சால்வடோர் அயேந்தே	Salvador Allende
தாவரவியல்	Plantkunde
லேக் வலேசா	Lech Wałęsa
சில்லு	Wiel (voortbeweging)
பிரெஞ்சு கலைக்களஞ்சியம்	Encyclopédie
மனம்	Geest
அமைதி	Vrede
பிரித்தானிக்கா கலைக்களஞ்சியம்	Encyclopædia Britannica
லியோன்	Lyon
ஐரோப்பிய ஒன்றியம்	Europese Unie
இணைய ஆவணகம்	Internet Archive
ஸ்டார் வார்ஸ்	Star Wars
உலகளாவிய வலை	Wereldwijd web
பெண்	Vrouw
சோஃவியா	Sofia (stad)
தொட்டிப் பாலம்	Aquaduct (watergang)
டான் குய்க்ஸோட்	Don Quichot (boek)
கவிதை	Poëzie
கணினி நச்சுநிரல்	Computervirus
செர்னோபில் அணு உலை விபத்து	Kernramp van Tsjernobyl
இரோசிமாவிலும் நாகசாக்கியிலும் அணுகுண்டு வீச்சு	Atoombommen op Hiroshima en Nagasaki
பில் மேகர்	Bill Maher
மிலன்	Milaan (stad)
நட்பு	Vriendschap
நினைவாற்றல்	Geheugen (psychologie)
ஆர்தர் ராம்போ	Arthur Rimbaud
துரின்	Turijn (stad)
மலம்	Ontlasting
மலவாய்	Anus (anatomie)
எலுமிச்சை	Citroen (vrucht)
வாழை	Banaan (vrucht)
மலர்	Bloem (plant)
கூகல்	Googol
மரியானா அகழி	Marianentrog
விளாடிமிர் விசொட்சுக்கி	Vladimir Vysotski
எவரெசுட்டு சிகரம்	Mount Everest
உடற்கூற்றியல்	Anatomie
மாநகரம்	Stad
பிரான்சின் முதலாம் நெப்போலியன்	Napoleon Bonaparte
ஒலிம்பஸ் மொன்ஸ் (மலை)	Olympus Mons
உடலியங்கியல்	Fysiologie
விண்மீன்	Ster (hemellichaam)
ஞாயிறு (விண்மீன்)	Zon
வானம்	Hemelgewelf
லூயி பாஸ்ச்சர்	Louis Pasteur
ஒளியாண்டு	Lichtjaar
ஊர்	Dorp
விக்டர் ஹியூகோ	Victor Hugo
ஓசியானியா	Oceanië
கரிபால்டி	Giuseppe Garibaldi
தடகள விளையாட்டு	Atletiek
சூரியக் குடும்பம்	Zonnestelsel
பால்டிக் கடல்	Oostzee
பல்	Tand
நீரியம்	Waterstof (element)
ஈலியம்	Helium
நரகம்	Hel (mythologie)
விக்கிமீடியா பொது	Wikimedia Commons
தூய்மை பெறும் நிலை	Vagevuur
அங்கெலா மேர்க்கெல்	Angela Merkel
இலித்தியம்	Lithium (element)
பெரிலியம்	Beryllium
ஒலிபெருக்கி	Luidspreker
நூல் அமைப்பு	Boek (document)
நாள்	Dag
கிழக்குத் திமோர்	Oost-Timor
இரவு	Nacht
ஆண்டு	Jaar
நூற்றாண்டு	Eeuw
மோண்ட் பிளாங்க்	Mont Blanc
ரைன் ஆறு	Rijn
ஒஸ்லோ	Oslo
பான்	Bonn
புனிதர் அனைவர் பெருவிழா	Allerheiligen
கருந்துளை	Zwart gat
லூயிஸ் டி கமோஸ்	Luís de Camões
சியரீசு (குறுங்கோள்)	Ceres (dwergplaneet)
லிஸ்பன்	Lissabon
அவுமியா	Haumea
ரோன்	Rhône (rivier)
கத்தேரி தேக்கக்விதா	Kateri Tekakwitha
ஏரிசு (குறுங்கோள்)	Eris (dwergplaneet)
துபாய்	Dubai (emiraat)
லியோனல் மெஸ்ஸி	Lionel Messi
போரான்	Boor (element)
நிக்கோலாஸ் கோப்பர்னிக்கஸ்	Nicolaas Copernicus
கரிமம்	Koolstof
வோல்கா ஆறு	Wolga
நைட்ரசன்	Stikstof (element)
ஆக்சிசன்	Zuurstof (element)
கோள்	Planeet
ஏழாம் கிளியோபாட்ரா	Cleopatra VII
இசை	Muziek
வெனிசு	Venetië (stad)
நருடோ	Naruto (manga)
வெப்பமானி	Thermometer
ரேன்	Rennes
லீல்	Rijsel
மாஸ்கோ	Moskou
புளோரின்	Fluor (element)
இத்தாலிய மொழி	Italiaans (taal)
நியான்	Neon (element)
சென் பீட்டர்ஸ்பேர்க்	Sint-Petersburg
சாட்	Tsjaad
சோடியம்	Natrium
வடக்கு	Noord (windstreek)
மக்னீசியம்	Magnesium
அலுமினியம்	Aluminium
நியூசிலாந்து	Nieuw-Zeeland
தெற்கு	Zuid
இந்தியா	India
சிலிக்கான்	Silicium
பிரான்சீயம்	Francium
துவாலு	Tuvalu
பாசுபரசு	Fosfor
ஆந்த்ரே-மாரி ஆம்பியர்	André-Marie Ampère
உரைநடை	Proza
இரும்பு	IJzer (element)
தொங்கா	Tonga (land)
மேற்கு	West
வோல்ட்டா	Alessandro Volta
கந்தகம்	Zwavel
சமோவா	Samoa
கிழக்கு	Oost (windstreek)
சொலமன் தீவுகள்	Salomonseilanden
வனுவாட்டு	Vanuatu
மொலியர்	Molière (schrijver)
குளோரின்	Chloor (element)
பப்புவா நியூ கினி	Papoea-Nieuw-Guinea
வில்லியம் சேக்சுபியர்	William Shakespeare
பலாவு	Palau (land)
ஆர்கான்	Argon
நவூரு	Nauru
பயர் பாக்சு	Mozilla Firefox
விசித்திரக் கதைகள்	Sprookje
மைக்குரோனீசியக் கூட்டு நாடுகள்	Micronesia
பொட்டாசியம்	Kalium
கல்சியம்	Calcium
ஈயம்	Lood (element)
மார்சல் தீவுகள்	Marshalleilanden
கிரிபட்டி	Kiribati
மங்கோலியா	Mongolië
பிஜி	Fiji
இசுக்காண்டியம்	Scandium
தைட்டானியம்	Titanium
வெனிசுவேலா	Venezuela
சதுரங்கம்	Schaken
செங்கிஸ் கான்	Dzjengis Khan
வனேடியம்	Vanadium
மேய்ன்	Maine
குரோமியம்	Chroom (element)
குதிரை	Paard (dier)
ஆம்ஸ்டர்டம்	Amsterdam
ஆயுதம்	Gevechtswapen
விலங்கு	Dierenrijk
சுரிநாம்	Suriname
மாங்கனீசு	Mangaan
