Aprika	Afrika
Hapon	Japan
Timog Amerika	Zuid-Amerika
Noruwega	Noorwegen
Inglatera	Engeland
Scotland	Schotland
Wales	Wales
Kahilagaang Irlanda	Noord-Ierland
Irlanda (bansa)	Ierland (land)
Unggarya	Hongarije
Espanya	Spanje
Estados Unidos	Verenigde Staten
Belhika	België
Luxembourg	Luxemburg (land)
Sansinukob	Heelal
Daigdig	Aarde (planeet)
Buhay	Leven
Kamatayan	Dood
Tao	Mens
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Bilang ng Halimaw	Getal van het Beest
Stanley Kubrick	Stanley Kubrick
Finland	Finland
Sweden	Zweden
Dinamarka	Denemarken
Poland	Polen
Lithuania	Litouwen
Italya	Italië
Suwisa	Zwitserland
Austria	Oostenrijk
Gresya	Griekenland
Turkiya	Turkije
Serbesa	Bier
Portugal	Portugal
Europa	Europa (werelddeel)
Asya	Azië
Hilagang Amerika	Noord-Amerika
Antartiko	Antarctica
Wikipedia	Wikipedia
Netherlands	Nederland
Titi	Penis
PHP	PHP
Lungsod ng New York	New York City
Washington, D.C.	Washington D.C.
San Francisco, California	San Francisco
Berlin	Berlijn
Los Angeles, California	Los Angeles
Kompyuter	Computer
Berna	Bern (stad)
Hinebra	Genève (stad)
Zürich	Zürich (stad)
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
Londres	Londen
Cairo	Caïro (stad)
Alehandriya	Alexandrië
Alexandria, Virginia	Alexandria (Virginia)
Mansanas	Appel (plant)
Paris	Parijs
Abraham Lincoln	Abraham Lincoln
Android	Android (besturingssysteem)
Google	Google Inc.
Mehiko	Mexico (land)
Karagatang Atlantiko	Atlantische Oceaan
Karagatang Pasipiko	Grote Oceaan
California	Californië
Boston, Massachusetts	Boston
Pneumonoultramicroscopicsilicovolcanoconiosis	Pneumonoultramicroscopicsilicovolcanoconiosis
Lunes	Maandag
Enero	Januari
Pebrero	Februari
Marso	Maart
Marte	Mars (planeet)
Marte (mitolohiya)	Mars (mythologie)
Kenya	Kenia
Ethiopia	Ethiopië
Ghana	Ghana
Abril	April
Mayo	Mei
Hunyo	Juni
Hulyo	Juli
Agosto	Augustus (maand)
Setyembre	September
Oktubre	Oktober
Nobyembre	November
Disyembre	December
Martes	Dinsdag
Miyerkules	Woensdag
Huwebes	Donderdag
Biyernes	Vrijdag
Sabado	Zaterdag
Linggo (araw)	Zondag
Leon	Leeuw (dier)
Pransiya	Frankrijk
Esperanto	Esperanto
Aso	Hond
United Kingdom	Verenigd Koninkrijk
Pusa	Kat (dier)
Kuting	Kitten (kat)
Tsina	Volksrepubliek China
Nyan Cat	Nyan Cat
Wikang Pranses	Frans
Wiktionary	Wiktionary
Isda	Vissen (dieren)
Inuming alkohol	Alcoholische drank
Brazil	Brazilië
Alkohol	Alcohol (stofklasse)
François Hollande	François Hollande
Rusya	Rusland
Cetacea	Walvisachtigen
Parisukat	Vierkant (meetkunde)
Dagat	Zee
Dagat Itim	Zwarte Zee
Pi	Pi (wiskunde)
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo (stad)
Québec	Quebec (provincie)
Pasta	Pasta (deegwaar)
Boeing 747	Boeing 747
Pundasyong Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Alemanya	Duitsland
Belarus	Wit-Rusland
Wikang Aleman	Duits
Iceland	IJsland
Diyos	God (monotheïsme)
Estonia	Estland
David Cameron	David Cameron
Saturno (planeta)	Saturnus (planeet)
Tsokolate	Chocolade
Seresa	Kers (fruit)
Eroplano	Vliegtuig
Digmaan	Oorlog
1 (bilang)	1 (getal)
2 (bilang)	2 (getal)
3 (bilang)	3 (getal)
4 (bilang)	4 (getal)
5 (bilang)	5 (getal)
0 (bilang)	0 (getal)
Kawalang hangganan	Oneindigheid
