Aprika	Afrika
Siapan	Japan
Saut Amerika	Zuid-Amerika
Nowe	Noorwegen
Inglan	Engeland
Skotlan	Schotland
Wels	Wales
Noten Aialan	Noord-Ierland
Ripablik bilong Aialan	Ierland (land)
Hangari	Hongarije
Spen	Spanje
Ol Yunaitet Stet	Verenigde Staten
Beljiam	België
Giraun	Aarde (planeet)
Pinlan	Finland
Suwidan	Zweden
Denmak	Denemarken
Polan	Polen
Lituwenia	Litouwen
Itali	Italië
Suwisalan	Zwitserland
Ostria	Oostenrijk
Gris	Griekenland
Teki	Turkije
Posugol	Portugal
Yurop	Europa (werelddeel)
Esia	Azië
Not Amerika	Noord-Amerika
Wikipedia	Wikipedia
Ol Nitelan	Nederland
Niu Yok Siti	New York City
Wasington DC	Washington D.C.
Berlin	Berlijn
Berne	Bern (stad)
Intanet	Internet
Barack Obama	Barack Obama
Landen	Londen
Kairo	Caïro (stad)
Paris	Parijs
Meksiko	Mexico (land)
Solwara Atlantik	Atlantische Oceaan
Solwara Pasifik	Grote Oceaan
Mande	Maandag
Janueri	Januari
Februeri	Februari
Mas	Maart
Epril	April
Me	Mei
Jun	Juni
Julai	Juli
Ogas	Augustus (maand)
Septemba	September
Oktoba	Oktober
Novemba	November
Disemba	December
Tunde	Dinsdag
Trinde	Woensdag
Fonde	Donderdag
Fraide	Vrijdag
Sarere	Zaterdag
Sande	Zondag
Frens	Frankrijk
Esperanto	Esperanto
Yunaitet Kingdom	Verenigd Koninkrijk
Ol Manmeri Ripablik bilong Saina	Volksrepubliek China
Tok Frens	Frans
Wiktionary	Wiktionary
Rasia	Rusland
San Paulu	São Paulo (stad)
Siamani	Duitsland
Belaras	Wit-Rusland
Tok Jeman	Duits
Aislan	IJsland
God	God (monotheïsme)
Estonia	Estland
George Walker Bush	George W. Bush
Latvia	Letland
Yukren	Oekraïne
Sek Ripablik	Tsjechië
Slovakia	Slowakije
Vilnius	Vilnius
Romenia	Roemenië
Balgeria	Bulgarije
Rom	Rome (stad)
Albenia	Albanië
Greenland	Groenland
Krowesia	Kroatië
Azerbaijan	Azerbeidzjan
Andora	Andorra
Saipras	Cyprus
San Marino	San Marino
Brussels	Brussel (stad)
Indonisia	Indonesië
Saut Aprika	Zuid-Afrika
Woso	Warschau
Tok Aislan	IJslands
Jisas	Jezus (traditioneel-christelijk)
Histori	Geschiedenis
Tokples	Taal
Yurenes (planet)	Uranus (planeet)
Nicolas Sarkozy	Nicolas Sarkozy
Estronomi	Astronomie
Ubuntu	Ubuntu (Linuxdistributie)
Szczecin	Szczecin
Ol matematik	Wiskunde
U2	U2 (band)
Tok Latin	Latijn
Armenia	Armenië
Sebia	Servië
Mun (i stap long heven)	Maan
Ostrelia	Australië (land)
Save long laip	Biologie
Not Koria	Noord-Korea
Islam	Islam
Lyon	Lyon
Sofia	Sofia (stad)
Banana	Banaan (vrucht)
San	Zon
Osenia	Oceanië
Wikimedia Commons	Wikimedia Commons
Buk	Boek (document)
De	Dag
Yia	Jaar
Oslo	Oslo
Katowice	Katowice
Planet	Planeet
Lille	Rijsel
Mosko	Moskou
Tok Itali	Italiaans (taal)
Niu Silan	Nieuw-Zeeland
India	India
Tuvalu	Tuvalu
Tonga	Tonga (land)
Samoa	Samoa
Solomon Ailans	Salomonseilanden
Vanuatu	Vanuatu
Papua Niugini	Papoea-Nieuw-Guinea
Nauru	Nauru
Ol Masol Ailan	Marshalleilanden
Kiribas	Kiribati
Fiji	Fiji
Abus	Dierenrijk
At	Kunst
Budisim	Boeddhisme
Sayor	Planten
Irak	Irak
Israel	Israël
Panama	Panama (land)
Yemen	Jemen
Tok Polan	Pools
Amerika (Kontinen)	Amerika (continent)
Malaysia	Maleisië
Platon	Plato
Ripablik bilong Saina	Taiwan
Aristoteles	Aristoteles
Tailan	Thailand
Vietnam	Vietnam
Saut Koria	Zuid-Korea
Socrates	Socrates (filosoof)
Bhutan	Bhutan
Brunai	Brunei
Albert Einstein	Albert Einstein
Yelo (kala)	Geel (kleur)
Beijing	Peking
Gabon	Gabon
Gandi	Mohandas Karamchand Gandhi
Lesoto	Lesotho
Naijiria	Nigeria
Senegal	Senegal
Sierra Leone	Sierra Leone
Julius Caesar	Julius Caesar
Save long giraun	Aardrijkskunde
Kala	Kleur
Blu (kala)	Blauw (kleur)
Bill Clinton	Bill Clinton
Yerusalem	Jeruzalem
Kolorado	Colorado (staat)
Chicago	Chicago
Tok Spen	Spaans
Mani	Geld
Uetersen	Uetersen
Augustus Caesar	Imperator Caesar Augustus
Trajan	Trajanus
Tokyo	Tokio
Bagdad	Bagdad
Stockholm	Stockholm
Dublin	Dublin
Reykjavik	Reykjavik
Talin	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Boedapest
Katolik	Katholicisme
Baibel	Bijbel (christendom)
Ho Chi Minh City	Ho Chi Minhstad
Tru Jisas Lotu	Ware Jezuskerk
Tokples Inglis	Engels
Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei (stad)
Đồng Hới	Đồng Hới
Concepción	Concepción (Chili)
Ottawa	Ottawa (stad)
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1901	1901
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
1920	1920
1919	1919
1921	1921
1922	1922
1923	1923
1924	1924
Kurów	Kurów (powiat Puławski)
1989	1989
1988	1988
1987	1987
1986	1986
1985	1985
1984	1984
1983	1983
1982	1982
1981	1981
1980	1980
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Benedict XVI	Paus Benedictus XVI
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
Palermo	Palermo (stad)
Soka	Voetbal
1963	1963
1962	1962
Madrid	Madrid (stad)
Michael Jackson	Michael Jackson
Göttingen	Göttingen (stad)
Kambra	Canberra
Ret (kala)	Rood (kleur)
1961	1961
Dakar	Dakar
Grup:Ol templet bilong tokples	Categorie:Wikipedia:Sjablonen
1960	1960
Freetown	Freetown
Wes Papua	Irian Jaya
Skul	School (instelling)
Osasku	Osasco (Brazilië)
Ples balus Dong Hoi	Luchthaven Đồng Hới
Kuritiba	Curitiba (gemeente)
Jonathan Winters	Jonathan Winters
Sean Connery	Sean Connery
Kongzi	Confucius
Corbin Bleu	Corbin Bleu
Grup:Ol matematik	Categorie:Wiskunde
Euro	Euro
Jason Lee	Jason Lee
Lotu Kristen	Christendom
Kontinen	Continent
Kapitol	Hoofdstad
Monzón	Monzón
Mun (taim)	Maand
1948	1948
1949	1949
Almazán	Almazán (gemeente)
1956	1956
1941	1941
1945	1945
1958	1958
1926	1926
1947	1947
1944	1944
1952	1952
Tokples Siapan	Japans
Ensaiklopedia	Encyclopedie
Fran pes	Hoofdpagina
1959	1959
1957	1957
Frank Lloyd Wright	Frank Lloyd Wright
Betlehem	Bethlehem
Pilosopi	Filosofie
Grup:All articles proposed for deletion	Categorie:Wikipedia:Nuweg
Piano	Piano (instrument)
Ti	Thee (drank)
Hebe Camargo	Hebe Camargo
Grup:Estronomi	Categorie:Astronomie
Carcassonne	Carcassonne (stad)
Sahara	Sahara
1801	1801
1802	1802
1803	1803
1804	1804
1805	1805
1806	1806
1807	1807
1808	1808
1809	1809
1810	1810
1811	1811
1812	1812
1813	1813
1814	1814
1815	1815
1816	1816
1817	1817
1818	1818
1819	1819
1820	1820
1821	1821
1822	1822
1823	1823
1824	1824
1825	1825
1826	1826
1827	1827
Buda	Boeddha (verlichte)
Politikis	Politiek
Gavman	Regering
Kantri	Staat
Kamel	Kamelen
1828	1828
1829	1829
1830	1830
1831	1831
1832	1832
1833	1833
1834	1834
1835	1835
1836	1836
1837	1837
1838	1838
1839	1839
1840	1840
1841	1841
1842	1842
1843	1843
1844	1844
Tok Rasia	Russisch
Toksave long ol raits bilong ol manmeri long olgeta hap bilong dispela giraun	Universele verklaring van de rechten van de mens
Tok Balgeria	Bulgaars
Nelson Mandela	Nelson Mandela
Lajik	Logica
Grama	Grammatica
Ikonimikis	Economie
Yen bilong Siapan	Japanse yen
Stadi bilong pasin bilong ol tokples	Taalkunde
Hangul	Hangul
Grup:Pranis	Categorie:Frankrijk
@@@u0026Weird Al@@@u0026 Yankovic	@@@u0026Weird Al@@@u0026 Yankovic
Alexander Makedon	Alexander de Grote
Edukesen	Onderwijs
Famili	Familie (verwanten)
Kopi	Koffie
Sol	Seoel
Tokples long Albenia	Albanees
Valencia	Valencia (stad)
Tok Denmak	Deens
Tok Nowe	Noors
Tok Slovakia	Slowaaks
Tok Hangari	Hongaars
Tok Lituwenia	Litouws
Tok Belaras	Wit-Russisch
Tok Gris	Grieks
Tok Aialan	Iers
Imel	E-mail
Tokples Pesia	Perzisch
Lotu	Religie
Tok Koria	Koreaans
Tok Vietnam	Vietnamees
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
Judaisim	Jodendom
Immanuel Kant	Immanuel Kant
Saikolosi	Psychologie
Sidarta	Gautama Boeddha
Martin Luther	Maarten Luther
Elisabet II	Elizabeth II van het Verenigd Koninkrijk
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
David Beckham	David Beckham
Gordon Brown	Gordon Brown
Tebol bilong ol elemen	Periodiek systeem
Diwai	Boom (plant)
Kubuntu	Kubuntu
Grup:Romenia	Categorie:Roemenië
Egrikalsa	Landbouw
Elektroniks	Elektronica
Ol kantri	Lijst van landen in 2015
Kensa	Kanker
Soria	Soria (stad)
Ponferrada	Ponferrada
Templet:Location map Iceland	Sjabloon:Positiekaart IJsland
Villarreal	Villarreal (Castellón)
Templet:Location map Samoa	Sjabloon:Positiekaart Samoa
Mislata	Mislata
Kokonas	Kokospalm
Ferdinand de Saussure	Ferdinand de Saussure
Unserdeutsch	Unserdeutsch
Kyushu	Kyushu
Honshu	Honshu
Shikoku	Shikoku (eiland)
Ista Ailan	Paaseiland
Ethnologue	Ethnologue
Bensheim	Bensheim
Queen	Queen
Freddie Mercury	Freddie Mercury
Templet:Link FA	Sjabloon:Link FA
Wol	Wereld (Aarde)
Vemont	Vermont
Koria	Korea
1925	1925
1927	1927
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
1938	1938
1937	1937
1936	1936
1935	1935
1934	1934
1933	1933
1932	1932
1931	1931
1930	1930
1929	1929
Pyongyang	Pyongyang
