Afrig	Afrika
Sapoŋ	Japan
Bëj-saalumu Aamerig	Zuid-Amerika
Noorwees	Noorwegen
Irlaand	Ierland (land)
Ongiri	Hongarije
Ispaañ	Spanje
Diiwaan yu Bennoo	Verenigde Staten
Belsik	België
Luksambuur	Luxemburg (land)
Suuf	Aarde (planeet)
Finlaand	Finland
Suweed	Zweden
Danmaark	Denemarken
Poloñ	Polen
Lituwaani	Litouwen
Itaali	Italië
Suwis	Zwitserland
Otris	Oostenrijk
Girees	Griekenland
Tirki	Turkije
Portugaal	Portugal
Tugal	Europa (werelddeel)
Asi	Azië
Bëj-gànnaaru Aamerig	Noord-Amerika
Goxub Dottub Bëj-saalum	Antarctica
Wikipedia	Wikipedia
Olaand	Nederland
PHP	PHP
Berlin	Berlijn
Nosukaay	Computer
Bern	Bern (stad)
Zurich	Zürich (stad)
Internet	Internet
Uruguwaay	Uruguay
Londar	Londen
Xayra	Caïro (stad)
Alegsàndiri	Alexandrië
Pari	Parijs
Meksik	Mexico (land)
Mbàmbulaanug Atlas	Atlantische Oceaan
Mbàmbulaan Gu-Dal	Grote Oceaan
Altine	Maandag
Samwie	Januari
Fewirie	Februari
Maars (weer)	Maart
Maas	Mars (planeet)
Keeñaa	Kenia
Ecoopi	Ethiopië
Gana	Ghana
Awril	April
Mee	Mei
Suwe	Juni
Sulet	Juli
Waxset	Augustus (maand)
Satumbar	September
Oktoobar	Oktober
Nowembar	November
Disambar	December
Talaata	Dinsdag
Àllarba	Woensdag
Alxames	Donderdag
Àjjuma	Vrijdag
Gaawu	Zaterdag
Dibéer	Zondag
Gaynde	Leeuw (dier)
Faraas	Frankrijk
Esperanto	Esperanto
Xaj	Hond
Nguur-Yu-Bennoo	Verenigd Koninkrijk
Muus	Kat (dier)
Réewum Popileer bu Siin	Volksrepubliek China
Wu-faraas	Frans
Wikbaatukaay	Wiktionary
Breesil	Brazilië
Riisi	Rusland
Géej	Zee
São Paulo	São Paulo (stad)
Almaañ	Duitsland
Belaarus	Wit-Rusland
Islaand	IJsland
Yàlla	God (monotheïsme)
Estooni	Estland
Benn	1 (getal)
Ñaar	2 (getal)
Ñatt	3 (getal)
Ñent	4 (getal)
Juroom	5 (getal)
Tus	0 (getal)
Letóoni	Letland
Ukreen	Oekraïne
Réewum Cek	Tsjechië
Eslowaaki	Slowakije
Esloweeni	Slovenië
Wilniyus	Vilnius
Moldaawi	Moldavië (land)
Romaani	Roemenië
Bulgaari	Bulgarije
Rom	Rome (stad)
Réewum Maseduwaan	Macedonië (land)
Albaani	Albanië
Groenlaand	Groenland
Korwaasi	Kroatië
Bosni	Bosnië en Herzegovina
Aserbayjaan	Azerbeidzjan
Andoor	Andorra
Ciipër	Cyprus
